resume,jd_file,similarity_score
resume_sales_2.pdf,jd_finance_4.txt,0.0
resume_sales_2.pdf,jd_project_management_1.txt,0.0
resume_sales_2.pdf,jd_project_management_2.txt,0.0
resume_sales_2.pdf,jd_project_management_3.txt,0.0
resume_sales_2.pdf,jd_project_management_4.txt,0.0
resume_sales_2.pdf,jd_project_management_5.txt,0.0
resume_sales_2.pdf,jd_sales_1.txt,0.0
resume_sales_2.pdf,jd_sales_2.txt,0.001
resume_sales_2.pdf,jd_sales_3.txt,0.0
resume_sales_2.pdf,jd_sales_4.txt,0.0
resume_sales_2.pdf,jd_sales_5.txt,0.0
resume_sales_2.pdf,jd_sales_6.txt,0.001
resume_sales_2.pdf,jd_software_engineer_1.txt,0.0
resume_sales_2.pdf,jd_software_engineer_2.txt,0.001
resume_sales_2.pdf,jd_software_engineer_3.txt,0.0
resume_sales_2.pdf,jd_software_engineer_4.txt,0.001
resume_sales_2.pdf,jd_software_engineer_5.txt,0.0
resume_sales_2.pdf,jd_software_engineer_6.txt,0.0
resume_software_engineer_1.pdf,jd_data_science_1.txt,0.006
resume_software_engineer_1.pdf,jd_data_science_2.txt,0.002
resume_software_engineer_1.pdf,jd_data_science_3.txt,0.005
resume_software_engineer_1.pdf,jd_data_science_4.txt,0.009
resume_software_engineer_1.pdf,jd_data_science_5.txt,0.001
resume_software_engineer_1.pdf,jd_finance_1.txt,0.002
resume_software_engineer_1.pdf,jd_finance_2.txt,0.002
resume_software_engineer_1.pdf,jd_finance_3.txt,0.008
resume_software_engineer_1.pdf,jd_finance_4.txt,0.002
resume_software_engineer_1.pdf,jd_project_management_1.txt,0.001
resume_software_engineer_1.pdf,jd_project_management_2.txt,0.001
resume_software_engineer_1.pdf,jd_project_management_3.txt,0.0
resume_software_engineer_1.pdf,jd_project_management_4.txt,0.0
resume_software_engineer_1.pdf,jd_project_management_5.txt,0.001
resume_software_engineer_1.pdf,jd_sales_1.txt,0.001
resume_software_engineer_1.pdf,jd_sales_2.txt,0.007
resume_software_engineer_1.pdf,jd_sales_3.txt,0.0
resume_software_engineer_1.pdf,jd_sales_4.txt,0.0
resume_software_engineer_1.pdf,jd_sales_5.txt,0.0
resume_software_engineer_1.pdf,jd_sales_6.txt,0.002
resume_software_engineer_1.pdf,jd_software_engineer_1.txt,0.001
resume_software_engineer_1.pdf,jd_software_engineer_2.txt,0.002
resume_software_engineer_1.pdf,jd_software_engineer_3.txt,0.001
resume_software_engineer_1.pdf,jd_software_engineer_4.txt,0.012
resume_software_engineer_1.pdf,jd_software_engineer_5.txt,0.002
resume_software_engineer_1.pdf,jd_software_engineer_6.txt,0.004
resume_software_engineer_1.txt,jd_data_science_1.txt,0.126
resume_software_engineer_1.txt,jd_data_science_2.txt,0.089
resume_software_engineer_1.txt,jd_data_science_3.txt,0.124
resume_software_engineer_1.txt,jd_data_science_4.txt,0.096
resume_software_engineer_1.txt,jd_data_science_5.txt,0.087
resume_software_engineer_1.txt,jd_finance_1.txt,0.052
resume_software_engineer_1.txt,jd_finance_2.txt,0.052
resume_software_engineer_1.txt,jd_finance_3.txt,0.135
resume_software_engineer_1.txt,jd_finance_4.txt,0.04
resume_software_engineer_1.txt,jd_project_management_1.txt,0.078
resume_software_engineer_1.txt,jd_project_management_2.txt,0.151
resume_software_engineer_1.txt,jd_project_management_3.txt,0.088
resume_software_engineer_1.txt,jd_project_management_4.txt,0.094
resume_software_engineer_1.txt,jd_project_management_5.txt,0.107
resume_software_engineer_1.txt,jd_sales_1.txt,0.024
resume_software_engineer_1.txt,jd_sales_2.txt,0.042
resume_software_engineer_1.txt,jd_sales_3.txt,0.065
resume_software_engineer_1.txt,jd_sales_4.txt,0.056
resume_software_engineer_1.txt,jd_sales_5.txt,0.015
resume_software_engineer_1.txt,jd_sales_6.txt,0.038
resume_software_engineer_1.txt,jd_software_engineer_1.txt,0.215
resume_software_engineer_1.txt,jd_software_engineer_2.txt,0.146
resume_software_engineer_1.txt,jd_software_engineer_3.txt,0.151
resume_software_engineer_1.txt,jd_software_engineer_4.txt,0.117
resume_software_engineer_1.txt,jd_software_engineer_5.txt,0.144
resume_software_engineer_1.txt,jd_software_engineer_6.txt,0.113
resume_software_engineer_10.txt,jd_data_science_1.txt,0.117
resume_software_engineer_10.txt,jd_data_science_2.txt,0.067
resume_software_engineer_10.txt,jd_data_science_3.txt,0.167
resume_software_engineer_10.txt,jd_data_science_4.txt,0.173
resume_software_engineer_10.txt,jd_data_science_5.txt,0.075
